mse,corr,shrink
0.00139097527081355,covariance,no shrinkage
0.00162400109700343,covariance,shrink std
0.00104144035987408,covariance,shrink basis
0.0175043626356979,correlation,no shrinkage
0.02496705142126,correlation,shrink std
0.00869064230202744,correlation,shrink basis
0.348126864579192,partial correlation,no shrinkage
0.0155707012395648,partial correlation,shrink std
0.00204713637774078,partial correlation,shrink basis
0.000397622860440614,covariance,no shrinkage
0.000289836643195684,covariance,shrink std
0.000166001854139639,covariance,shrink basis
0.00795829224066234,correlation,no shrinkage
0.00833470939142378,correlation,shrink std
0.00379435898761392,correlation,shrink basis
0.324297576275113,partial correlation,no shrinkage
0.0132825283888491,partial correlation,shrink std
0.00267580634909578,partial correlation,shrink basis
0.000350816088074225,covariance,no shrinkage
0.000229686540316163,covariance,shrink std
7.56741912968399e-05,covariance,shrink basis
0.013967688185486,correlation,no shrinkage
0.0112970836468891,correlation,shrink std
0.00418421129568263,correlation,shrink basis
0.956461696918333,partial correlation,no shrinkage
0.0131770891560488,partial correlation,shrink std
0.00261591337380957,partial correlation,shrink basis
0.000293031892355451,covariance,no shrinkage
0.000204733685948759,covariance,shrink std
4.8538987145582e-05,covariance,shrink basis
0.00942621228004718,correlation,no shrinkage
0.00707416161853963,correlation,shrink std
0.00356252091115944,correlation,shrink basis
0.269336834849622,partial correlation,no shrinkage
0.0151378683569928,partial correlation,shrink std
0.00199719639416149,partial correlation,shrink basis
0.00023021404564044,covariance,no shrinkage
0.000305879430230084,covariance,shrink std
6.05022596528895e-05,covariance,shrink basis
0.0105500782462932,correlation,no shrinkage
0.0150712918013312,correlation,shrink std
0.00419302948913249,correlation,shrink basis
0.827530728244371,partial correlation,no shrinkage
0.0103234113287111,partial correlation,shrink std
0.00288507156347349,partial correlation,shrink basis
0.000886220503316025,covariance,no shrinkage
0.000517189495229776,covariance,shrink std
0.000344911525797785,covariance,shrink basis
0.00701079486249375,correlation,no shrinkage
0.00466564688507657,correlation,shrink std
0.00394873648999001,correlation,shrink basis
0.487967588571094,partial correlation,no shrinkage
0.0138919124425712,partial correlation,shrink std
0.00238007976802684,partial correlation,shrink basis
0.000791927091987887,covariance,no shrinkage
0.000951908968999445,covariance,shrink std
0.000902032591934643,covariance,shrink basis
0.00889450672654396,correlation,no shrinkage
0.0124674633779593,correlation,shrink std
0.00696386776357348,correlation,shrink basis
0.607211284283755,partial correlation,no shrinkage
0.0170977246387485,partial correlation,shrink std
0.00194076813659529,partial correlation,shrink basis
0.000296351972360567,covariance,no shrinkage
0.000310366307781479,covariance,shrink std
6.26806641550488e-05,covariance,shrink basis
0.0162661346392953,correlation,no shrinkage
0.0173039073759865,correlation,shrink std
0.003086236332493,correlation,shrink basis
0.294310149249879,partial correlation,no shrinkage
0.0125067792487549,partial correlation,shrink std
0.00189903479418019,partial correlation,shrink basis
0.000219898929543856,covariance,no shrinkage
0.000236601161301614,covariance,shrink std
6.87107943040321e-05,covariance,shrink basis
0.0145598331625906,correlation,no shrinkage
0.0186479630083858,correlation,shrink std
0.00607432687592113,correlation,shrink basis
0.382566926058518,partial correlation,no shrinkage
0.0118009682606344,partial correlation,shrink std
0.00254197394317417,partial correlation,shrink basis
0.000146405828507435,covariance,no shrinkage
8.00245468316688e-05,covariance,shrink std
0.000105196411471689,covariance,shrink basis
0.0197083169256316,correlation,no shrinkage
0.0140138603100419,correlation,shrink std
0.0105985895390746,correlation,shrink basis
0.218978000947343,partial correlation,no shrinkage
0.0055155815553779,partial correlation,shrink std
0.00175335233686628,partial correlation,shrink basis
0.000175358798111851,covariance,no shrinkage
0.000188451400307428,covariance,shrink std
0.000115785856440425,covariance,shrink basis
