mse,corr,shrink
0.00061378188632726,covariance,no shrinkage
0.000540330111786301,covariance,shrink std
0.000390844334529396,covariance,shrink basis
0.00267898005203016,correlation,no shrinkage
0.00195951878667662,correlation,shrink std
0.00207749342685586,correlation,shrink basis
0.0060125261639069,partial correlation,no shrinkage
0.00491884776616217,partial correlation,shrink std
0.00257792404465602,partial correlation,shrink basis
7.37678731732617e-05,covariance,no shrinkage
7.87068662077576e-05,covariance,shrink std
6.97383144028448e-05,covariance,shrink basis
0.0027345507199108,correlation,no shrinkage
0.0029328408580081,correlation,shrink std
0.00208237326462366,correlation,shrink basis
0.00593318745897151,partial correlation,no shrinkage
0.00498671919157239,partial correlation,shrink std
0.00187086951725551,partial correlation,shrink basis
7.13535218427003e-05,covariance,no shrinkage
5.6767305681984e-05,covariance,shrink std
3.79500405217496e-05,covariance,shrink basis
0.00150403196602073,correlation,no shrinkage
0.0012262909509592,correlation,shrink std
0.00112731488096248,correlation,shrink basis
0.00629192383723937,partial correlation,no shrinkage
0.00508533874185821,partial correlation,shrink std
0.0024076960366426,partial correlation,shrink basis
7.49937963014488e-05,covariance,no shrinkage
6.39528224635069e-05,covariance,shrink std
4.70496204456456e-05,covariance,shrink basis
0.00153101045215591,correlation,no shrinkage
0.00136953811415478,correlation,shrink std
0.00107037896923454,correlation,shrink basis
0.00687143172210232,partial correlation,no shrinkage
0.00557106222205631,partial correlation,shrink std
0.00248228106520243,partial correlation,shrink basis
0.00010307320791686,covariance,no shrinkage
0.000108237007766751,covariance,shrink std
6.78752944890048e-05,covariance,shrink basis
0.00156912061954789,correlation,no shrinkage
0.00154677444642703,correlation,shrink std
0.0011011499471749,correlation,shrink basis
0.00544990013080618,partial correlation,no shrinkage
0.0045153422451596,partial correlation,shrink std
0.00268569977157765,partial correlation,shrink basis
8.33490115930942e-05,covariance,no shrinkage
7.52694075514707e-05,covariance,shrink std
4.80693009893546e-05,covariance,shrink basis
0.00140995330929251,correlation,no shrinkage
0.00137997297059539,correlation,shrink std
0.00106960128828216,correlation,shrink basis
0.00661654336544422,partial correlation,no shrinkage
0.00540177416352058,partial correlation,shrink std
0.00270797656206698,partial correlation,shrink basis
5.93681071974033e-05,covariance,no shrinkage
5.88340136797287e-05,covariance,shrink std
3.73942753670664e-05,covariance,shrink basis
0.00162155379400779,correlation,no shrinkage
0.00168664398150632,correlation,shrink std
0.00112172901746031,correlation,shrink basis
0.00653003915036519,partial correlation,no shrinkage
0.00515856774087454,partial correlation,shrink std
0.00264484952337757,partial correlation,shrink basis
4.49589578071224e-05,covariance,no shrinkage
3.78020278108029e-05,covariance,shrink std
3.02955872535863e-05,covariance,shrink basis
0.00337012627435885,correlation,no shrinkage
0.00301130719266275,correlation,shrink std
0.00206401757744051,correlation,shrink basis
0.00565312043601831,partial correlation,no shrinkage
0.00462978340398245,partial correlation,shrink std
0.0025592197251432,partial correlation,shrink basis
0.000115562588028423,covariance,no shrinkage
0.000116883345032439,covariance,shrink std
7.49147848928535e-05,covariance,shrink basis
0.00102215064858816,correlation,no shrinkage
0.000960111185629512,correlation,shrink std
0.000653793633915841,correlation,shrink basis
0.00633449523693975,partial correlation,no shrinkage
0.00520651253805601,partial correlation,shrink std
0.00294105296931016,partial correlation,shrink basis
8.98431209542709e-05,covariance,no shrinkage
0.000108977479293213,covariance,shrink std
7.32438660937831e-05,covariance,shrink basis
0.00283760594522927,correlation,no shrinkage
0.00340114324378527,correlation,shrink std
0.00206007346420677,correlation,shrink basis
0.00542297910499175,partial correlation,no shrinkage
0.00434819740109073,partial correlation,shrink std
0.00224400767033322,partial correlation,shrink basis
2.84012434308359e-05,covariance,no shrinkage
2.14073908345204e-05,covariance,shrink std
2.51283387281772e-05,covariance,shrink basis
0.00391460173320473,correlation,no shrinkage
0.0029075034779395,correlation,shrink std
0.0035921876206555,correlation,shrink basis
0.00604430573432663,partial correlation,no shrinkage
0.00453980212897057,partial correlation,shrink std
0.00246694755016066,partial correlation,shrink basis
5.01033758019538e-05,covariance,no shrinkage
4.07980505563336e-05,covariance,shrink std
5.38547436871266e-05,covariance,shrink basis
0.00301631288330074,correlation,no shrinkage
0.00246826770743487,correlation,shrink std
0.00337946944092493,correlation,shrink basis
0.00612421800286245,partial correlation,no shrinkage
0.00509128614501611,partial correlation,shrink std
0.00195512897416016,partial correlation,shrink basis
5.36828601878765e-05,covariance,no shrinkage
4.57167105983506e-05,covariance,shrink std
6.35994903452928e-05,covariance,shrink basis
0.0018629898521852,correlation,no shrinkage
0.00168651425336486,correlation,shrink std
0.00224985079374658,correlation,shrink basis
0.00650184516981604,partial correlation,no shrinkage
0.00527333882438686,partial correlation,shrink std
0.00283776810306699,partial correlation,shrink basis
5.51252953803123e-05,covariance,no shrinkage
4.59313153258754e-05,covariance,shrink std
4.0637577391923e-05,covariance,shrink basis
0.00404034932628041,correlation,no shrinkage
0.00332667278307576,correlation,shrink std
0.00262049784679826,correlation,shrink basis
0.0063285428026435,partial correlation,no shrinkage
0.00497978629817669,partial correlation,shrink std
0.0023223099878177,partial correlation,shrink basis
7.21574584047929e-05,covariance,no shrinkage
6.11743872614619e-05,covariance,shrink std
4.92186536912244e-05,covariance,shrink basis
0.00272599986327328,correlation,no shrinkage
0.00249519114097214,correlation,shrink std
0.00188404622274029,correlation,shrink basis
0.00659658837699895,partial correlation,no shrinkage
0.00542468214162416,partial correlation,shrink std
0.00263020275941102,partial correlation,shrink basis
5.60764425463864e-05,covariance,no shrinkage
4.51219317679463e-05,covariance,shrink std
3.08410895189323e-05,covariance,shrink basis
0.00317685193744116,correlation,no shrinkage
0.00256941981345421,correlation,shrink std
0.00207154981280426,correlation,shrink basis
0.00621111727484813,partial correlation,no shrinkage
0.0050578477177141,partial correlation,shrink std
0.00185713730510048,partial correlation,shrink basis
0.000115327311018289,covariance,no shrinkage
0.000135412474612605,covariance,shrink std
0.000120397024752767,covariance,shrink basis
0.00425407310770247,correlation,no shrinkage
0.00549881008724164,correlation,shrink std
0.00369488855476452,correlation,shrink basis
0.00638646869365366,partial correlation,no shrinkage
0.00493909528834075,partial correlation,shrink std
