mse,corr,shrink
0.000479331878521816,covariance,no shrinkage
4.45684025768601e-05,covariance,shrink std
4.23612696468262e-05,covariance,shrink basis
0.14635913534676,correlation,no shrinkage
0.0189088449347992,correlation,shrink std
0.018289628681478,correlation,shrink basis
0.171713230816168,partial correlation,no shrinkage
0.00383806159568612,partial correlation,shrink std
0.0031711454808247,partial correlation,shrink basis
0.000470346315559436,covariance,no shrinkage
4.04897008242423e-05,covariance,shrink std
3.95809656389751e-05,covariance,shrink basis
0.136009191742894,correlation,no shrinkage
0.0130961922128094,correlation,shrink std
0.0130056019118152,correlation,shrink basis
0.160541189259804,partial correlation,no shrinkage
0.00424955783560781,partial correlation,shrink std
0.00364709570791162,partial correlation,shrink basis
0.000759830936856681,covariance,no shrinkage
4.29254386470447e-05,covariance,shrink std
4.26526034198112e-05,covariance,shrink basis
0.139027964741233,correlation,no shrinkage
0.0160294409142543,correlation,shrink std
0.0157395278801568,correlation,shrink basis
0.164779534148363,partial correlation,no shrinkage
0.00330103686232951,partial correlation,shrink std
0.00275969113668293,partial correlation,shrink basis
0.000774170328428384,covariance,no shrinkage
5.86402580120209e-05,covariance,shrink std
5.82247734755086e-05,covariance,shrink basis
0.143812282931172,correlation,no shrinkage
0.0128328572779747,correlation,shrink std
0.0125788292639907,correlation,shrink basis
0.180243391128377,partial correlation,no shrinkage
0.00427293166759522,partial correlation,shrink std
0.00357827063341836,partial correlation,shrink basis
0.000713169902154636,covariance,no shrinkage
7.29287146520737e-05,covariance,shrink std
6.80991628529308e-05,covariance,shrink basis
0.155366198812995,correlation,no shrinkage
0.0198057199173352,correlation,shrink std
0.0192595568151142,correlation,shrink basis
0.174006705361218,partial correlation,no shrinkage
0.00470560053505127,partial correlation,shrink std
0.00407745150270827,partial correlation,shrink basis
0.000247702950826996,covariance,no shrinkage
2.30682343545429e-05,covariance,shrink std
2.1856044714004e-05,covariance,shrink basis
0.133372804934973,correlation,no shrinkage
0.0121037154227432,correlation,shrink std
0.0117661515308763,correlation,shrink basis
0.163234924402165,partial correlation,no shrinkage
0.00352564009497439,partial correlation,shrink std
0.00297006770260113,partial correlation,shrink basis
0.000547491576579358,covariance,no shrinkage
4.07914678722124e-05,covariance,shrink std
3.87460342606673e-05,covariance,shrink basis
0.146128666457102,correlation,no shrinkage
0.0136805063981774,correlation,shrink std
0.013252543445131,correlation,shrink basis
0.152593270043699,partial correlation,no shrinkage
0.00314001127236867,partial correlation,shrink std
0.00251371191244645,partial correlation,shrink basis
0.000672478222439305,covariance,no shrinkage
4.22674955563213e-05,covariance,shrink std
4.06066605009444e-05,covariance,shrink basis
0.133437724511292,correlation,no shrinkage
0.0132342854826835,correlation,shrink std
0.0137862616670043,correlation,shrink basis
0.159126068855482,partial correlation,no shrinkage
0.00329579449916515,partial correlation,shrink std
0.00283623955737207,partial correlation,shrink basis
0.000637131159517027,covariance,no shrinkage
4.40333292949181e-05,covariance,shrink std
4.37614070309245e-05,covariance,shrink basis
0.133507723608979,correlation,no shrinkage
0.0163466383513854,correlation,shrink std
0.0170166347665326,correlation,shrink basis
0.183938069013194,partial correlation,no shrinkage
0.00366375785994774,partial correlation,shrink std
0.00311874103722268,partial correlation,shrink basis
0.000687002214624291,covariance,no shrinkage
5.87797345003177e-05,covariance,shrink std
5.87063492995388e-05,covariance,shrink basis
0.16247023233728,correlation,no shrinkage
0.0185390239182784,correlation,shrink std
0.0179267619643713,correlation,shrink basis
0.21181524989258,partial correlation,no shrinkage
0.00426370730553502,partial correlation,shrink std
0.00357789318180645,partial correlation,shrink basis
0.000579767580128632,covariance,no shrinkage
3.74503427165825e-05,covariance,shrink std
3.39120148859425e-05,covariance,shrink basis
0.132990596004713,correlation,no shrinkage
0.0129215298990132,correlation,shrink std
0.0122394907116463,correlation,shrink basis
0.172336668289328,partial correlation,no shrinkage
0.0036510172897649,partial correlation,shrink std
0.00289842327658078,partial correlation,shrink basis
0.000334175494454084,covariance,no shrinkage
2.93445865815091e-05,covariance,shrink std
2.91548994227401e-05,covariance,shrink basis
0.139515500373624,correlation,no shrinkage
0.016581618002105,correlation,shrink std
0.0169952166413996,correlation,shrink basis
0.177755572982299,partial correlation,no shrinkage
0.00370349974857299,partial correlation,shrink std
0.0031373686679546,partial correlation,shrink basis
0.00083096077446902,covariance,no shrinkage
3.73141341565064e-05,covariance,shrink std
3.5790564261292e-05,covariance,shrink basis
0.137978517639435,correlation,no shrinkage
0.0127752240638412,correlation,shrink std
0.0127579968965675,correlation,shrink basis
0.153398724941831,partial correlation,no shrinkage
0.00286736122866762,partial correlation,shrink std
0.00221039835983399,partial correlation,shrink basis
0.000531195984377897,covariance,no shrinkage
4.30831443274938e-05,covariance,shrink std
4.16066734144574e-05,covariance,shrink basis
0.137480547666711,correlation,no shrinkage
0.0165705374520833,correlation,shrink std
0.0157890141398372,correlation,shrink basis
