mse,corr,shrink
0.00186719057332295,covariance,no shrinkage
0.000585269647895163,covariance,shrink std
0.000193157328464841,covariance,shrink basis
0.0989705881229429,correlation,no shrinkage
0.0566526440847185,correlation,shrink std
0.0176868206280984,correlation,shrink basis
0.186891229399777,partial correlation,no shrinkage
0.0050062877270883,partial correlation,shrink std
0.00315349187078072,partial correlation,shrink basis
0.00314966609445163,covariance,no shrinkage
0.000540913656482667,covariance,shrink std
8.46754803204969e-05,covariance,shrink basis
0.0362845671337706,correlation,no shrinkage
0.0347555152326795,correlation,shrink std
0.00614548332206653,correlation,shrink basis
0.17395983824487,partial correlation,no shrinkage
0.00514069092982381,partial correlation,shrink std
0.00374623262894951,partial correlation,shrink basis
0.00171932014826167,covariance,no shrinkage
0.0016828195665947,covariance,shrink std
0.000400286110310295,covariance,shrink basis
0.125820767624012,correlation,no shrinkage
0.133703747625274,correlation,shrink std
0.0172682691535547,correlation,shrink basis
0.176726750515608,partial correlation,no shrinkage
0.00381601106414041,partial correlation,shrink std
0.00276874976562571,partial correlation,shrink basis
0.00458749252746093,covariance,no shrinkage
0.000746470062458462,covariance,shrink std
0.000264246542884034,covariance,shrink basis
0.05661027015932,correlation,no shrinkage
0.037306257139437,correlation,shrink std
0.00763090780018962,correlation,shrink basis
0.199834798667216,partial correlation,no shrinkage
0.00438652501676162,partial correlation,shrink std
0.00362023541496278,partial correlation,shrink basis
0.00254943798556146,covariance,no shrinkage
0.00229229520518846,covariance,shrink std
0.000270027862190054,covariance,shrink basis
0.0675649060904987,correlation,no shrinkage
0.117417823124512,correlation,shrink std
0.00949240808898642,correlation,shrink basis
0.187527924450942,partial correlation,no shrinkage
0.00433137376596497,partial correlation,shrink std
0.00408062882078318,partial correlation,shrink basis
0.00330982379369516,covariance,no shrinkage
0.00394895072409056,covariance,shrink std
0.00218146991107879,covariance,shrink basis
0.204733634487335,correlation,no shrinkage
0.237076084888455,correlation,shrink std
0.0507135482703344,correlation,shrink basis
0.165278591387721,partial correlation,no shrinkage
0.00415286803380995,partial correlation,shrink std
0.00295107173906215,partial correlation,shrink basis
0.00153204443240775,covariance,no shrinkage
0.00114080369072845,covariance,shrink std
0.000213841562943521,covariance,shrink basis
0.0787353712172967,correlation,no shrinkage
0.0669260161285857,correlation,shrink std
0.0108898991675014,correlation,shrink basis
0.165496692243575,partial correlation,no shrinkage
0.00458285095834611,partial correlation,shrink std
0.00246142660319694,partial correlation,shrink basis
0.00182587528369477,covariance,no shrinkage
0.00121341822012228,covariance,shrink std
6.94554010786038e-05,covariance,shrink basis
0.265519985381714,correlation,no shrinkage
0.164367111702769,correlation,shrink std
0.0100000069501827,correlation,shrink basis
0.161277873672333,partial correlation,no shrinkage
0.00350117335787032,partial correlation,shrink std
0.00284878196128118,partial correlation,shrink basis
0.00121476926575956,covariance,no shrinkage
0.000390823894291134,covariance,shrink std
0.000291164004146994,covariance,shrink basis
0.0944725899302999,correlation,no shrinkage
0.0435515954835884,correlation,shrink std
0.0215600468263761,correlation,shrink basis
0.204180785480833,partial correlation,no shrinkage
0.00347751515349387,partial correlation,shrink std
0.00318626913918475,partial correlation,shrink basis
0.00251612039400876,covariance,no shrinkage
0.00246531419751976,covariance,shrink std
0.000724312576911755,covariance,shrink basis
0.192709224558028,correlation,no shrinkage
0.183010059658411,correlation,shrink std
0.0289046861339566,correlation,shrink basis
0.187581830288106,partial correlation,no shrinkage
0.00369818488896217,partial correlation,shrink std
0.00357413668956889,partial correlation,shrink basis
0.00202893056497218,covariance,no shrinkage
0.00200658069478638,covariance,shrink std
0.000310793095532145,covariance,shrink basis
0.136907268348076,correlation,no shrinkage
0.12483145645831,correlation,shrink std
0.0115652814445471,correlation,shrink basis
0.175742631339241,partial correlation,no shrinkage
0.00455269350615183,partial correlation,shrink std
0.00289240416773417,partial correlation,shrink basis
0.000789148940715578,covariance,no shrinkage
