mse,corr,shrink
3.2463027643377e-06,covariance,no shrinkage
2.89838580920576e-06,covariance,shrink std
2.79402773012207e-06,covariance,shrink basis
0.000960512197582949,correlation,no shrinkage
0.000834829114549554,correlation,shrink std
0.000813199645457261,correlation,shrink basis
0.00100365149052604,partial correlation,no shrinkage
0.070281591501495,partial correlation,shrink std
0.000828905158008998,partial correlation,shrink basis
4.27323588958542e-06,covariance,no shrinkage
3.68551757012743e-06,covariance,shrink std
3.59461414350612e-06,covariance,shrink basis
0.000923066283654775,correlation,no shrinkage
0.000787418763819956,correlation,shrink std
0.000774794867162164,correlation,shrink basis
0.000971654520210971,partial correlation,no shrinkage
0.0639789882095189,partial correlation,shrink std
0.000816355169256717,partial correlation,shrink basis
3.99141286391956e-06,covariance,no shrinkage
3.48828607061699e-06,covariance,shrink std
3.37719702395167e-06,covariance,shrink basis
0.00102088864522049,correlation,no shrinkage
0.000905831194696317,correlation,shrink std
0.000875027385716322,correlation,shrink basis
0.00101995310273538,partial correlation,no shrinkage
0.0357574352027891,partial correlation,shrink std
0.000781913972963553,partial correlation,shrink basis
3.85242220006821e-06,covariance,no shrinkage
3.67685858293674e-06,covariance,shrink std
3.6709686502332e-06,covariance,shrink basis
0.000884488793667623,correlation,no shrinkage
0.000868098406508844,correlation,shrink std
0.000863044871879787,correlation,shrink basis
0.000978334936229557,partial correlation,no shrinkage
0.0538830357618199,partial correlation,shrink std
0.000806712743997578,partial correlation,shrink basis
2.82011525127127e-06,covariance,no shrinkage
2.633723642285e-06,covariance,shrink std
2.62542074177123e-06,covariance,shrink basis
0.000875080622719481,correlation,no shrinkage
0.0009106231219868,correlation,shrink std
0.000931741258310915,correlation,shrink basis
0.00103395450168038,partial correlation,no shrinkage
0.0810941447832328,partial correlation,shrink std
0.000829336625798535,partial correlation,shrink basis
4.20518919494724e-06,covariance,no shrinkage
3.74740230766541e-06,covariance,shrink std
3.64124013386371e-06,covariance,shrink basis
0.000989019029399496,correlation,no shrinkage
0.000904942315656802,correlation,shrink std
0.000888849028851516,correlation,shrink basis
0.00108852343433493,partial correlation,no shrinkage
0.0687330008013024,partial correlation,shrink std
0.000880360588674831,partial correlation,shrink basis
3.8206419265139e-06,covariance,no shrinkage
3.26265058160826e-06,covariance,shrink std
3.14404873326976e-06,covariance,shrink basis
0.0010293899030168,correlation,no shrinkage
0.000862476584355103,correlation,shrink std
0.000837462655313999,correlation,shrink basis
0.00108774053752739,partial correlation,no shrinkage
0.0558315762963107,partial correlation,shrink std
0.000869668761070591,partial correlation,shrink basis
5.14666258427132e-06,covariance,no shrinkage
4.54742480219704e-06,covariance,shrink std
4.46258849145521e-06,covariance,shrink basis
0.00104893599272152,correlation,no shrinkage
0.000910826407186266,correlation,shrink std
0.000890268627702319,correlation,shrink basis
0.00103580416029167,partial correlation,no shrinkage
0.0685021632411537,partial correlation,shrink std
0.000865948054739216,partial correlation,shrink basis
3.25210476203802e-06,covariance,no shrinkage
3.06288296739601e-06,covariance,shrink std
3.03856943273466e-06,covariance,shrink basis
0.00094469242580559,correlation,no shrinkage
0.000882177562123307,correlation,shrink std
0.000875496233235441,correlation,shrink basis
0.00102746083406119,partial correlation,no shrinkage
0.0552973856569338,partial correlation,shrink std
0.000830940548671769,partial correlation,shrink basis
3.18125266718282e-06,covariance,no shrinkage
2.96597120506315e-06,covariance,shrink std
2.9281907330975e-06,covariance,shrink basis
0.00105409548909612,correlation,no shrinkage
0.00105016382154466,correlation,shrink std
0.00103648164113019,correlation,shrink basis
0.00106439479765225,partial correlation,no shrinkage
0.0418724409208496,partial correlation,shrink std
0.000816069991425197,partial correlation,shrink basis
3.00272315964301e-06,covariance,no shrinkage
2.62805210264389e-06,covariance,shrink std
2.54714612322291e-06,covariance,shrink basis
0.000989943114882353,correlation,no shrinkage
0.000903765209678348,correlation,shrink std
0.000888514862146794,correlation,shrink basis
0.0010094757178267,partial correlation,no shrinkage
0.0531182032947186,partial correlation,shrink std
0.000805358667150429,partial correlation,shrink basis
2.95537911065824e-06,covariance,no shrinkage
2.63982987127445e-06,covariance,shrink std
2.53004780193578e-06,covariance,shrink basis
0.000949202680714393,correlation,no shrinkage
0.000835769384865601,correlation,shrink std
0.00080884039980089,correlation,shrink basis
0.00103463464904386,partial correlation,no shrinkage
0.0932967854840929,partial correlation,shrink std
0.000876232671259078,partial correlation,shrink basis
3.77374913583291e-06,covariance,no shrinkage
3.37367077417127e-06,covariance,shrink std
3.26776007731786e-06,covariance,shrink basis
0.000912020732709797,correlation,no shrinkage
0.000857892311619289,correlation,shrink std
0.000844395868038948,correlation,shrink basis
0.000985261497114755,partial correlation,no shrinkage
0.052139814766071,partial correlation,shrink std
0.000768533814664212,partial correlation,shrink basis
3.77804786066581e-06,covariance,no shrinkage
3.11565359690562e-06,covariance,shrink std
3.02815936728929e-06,covariance,shrink basis
0.0010928526655176,correlation,no shrinkage
0.000878117849834831,correlation,shrink std
0.00085917205084604,correlation,shrink basis
0.000995646482718452,partial correlation,no shrinkage
0.0397017277829053,partial correlation,shrink std
0.00080782882962153,partial correlation,shrink basis
3.78076112371363e-06,covariance,no shrinkage
3.51007009046106e-06,covariance,shrink std
3.49218074238469e-06,covariance,shrink basis
0.000941637739748908,correlation,no shrinkage
0.000907605158252792,correlation,shrink std
0.000903977628925674,correlation,shrink basis
0.000951702141631204,partial correlation,no shrinkage
0.0660554520206676,partial correlation,shrink std
0.000783896790646531,partial correlation,shrink basis
2.78212095328099e-06,covariance,no shrinkage
2.31551651905011e-06,covariance,shrink std
2.22176816243379e-06,covariance,shrink basis
0.000940302071880928,correlation,no shrinkage
0.000788701993972238,correlation,shrink std
0.000760769827019799,correlation,shrink basis
0.00107549437307197,partial correlation,no shrinkage
0.0307675509444491,partial correlation,shrink std
0.000770630113056057,partial correlation,shrink basis
4.72870619296766e-06,covariance,no shrinkage
4.22964328140027e-06,covariance,shrink std
4.17495867460112e-06,covariance,shrink basis
0.00104164601762503,correlation,no shrinkage
0.000969135492544382,correlation,shrink std
0.000954648507914847,correlation,shrink basis
0.00101366125029716,partial correlation,no shrinkage
0.0405053634607068,partial correlation,shrink std
0.000800723815599635,partial correlation,shrink basis
3.59663409537265e-06,covariance,no shrinkage
3.31177693041373e-06,covariance,shrink std
3.2630394210017e-06,covariance,shrink basis
0.000942431803533758,correlation,no shrinkage
0.000900655421777391,correlation,shrink std
0.000891303193880709,correlation,shrink basis
0.000995690455039177,partial correlation,no shrinkage
0.0685374238917897,partial correlation,shrink std
0.000827044859584859,partial correlation,shrink basis
4.5153707755831e-06,covariance,no shrinkage
4.05852972677826e-06,covariance,shrink std
4.03015802599079e-06,covariance,shrink basis
0.00102743604937636,correlation,no shrinkage
0.00097824021486704,correlation,shrink std
0.000969282915567143,correlation,shrink basis
0.00112628767662696,partial correlation,no shrinkage
0.0606174466880179,partial correlation,shrink std
0.000913320404915773,partial correlation,shrink basis
4.37501204637355e-06,covariance,no shrinkage
4.07283155039482e-06,covariance,shrink std
4.00010788117594e-06,covariance,shrink basis
0.000951619117712971,correlation,no shrinkage
0.000890199783139348,correlation,shrink std
0.000884506698068686,correlation,shrink basis
0.00100872103987451,partial correlation,no shrinkage
0.0694415240433085,partial correlation,shrink std
0.000803899481478799,partial correlation,shrink basis
3.83131819760628e-06,covariance,no shrinkage
3.32474256177192e-06,covariance,shrink std
3.22538949431042e-06,covariance,shrink basis
0.000956448974977842,correlation,no shrinkage
0.000899604178166077,correlation,shrink std
0.000881889430964022,correlation,shrink basis
0.000960728719414362,partial correlation,no shrinkage
0.0509781132955872,partial correlation,shrink std
0.000784772208054382,partial correlation,shrink basis
4.33422043486999e-06,covariance,no shrinkage
4.28860921046709e-06,covariance,shrink std
4.26430145888085e-06,covariance,shrink basis
0.000888350639378634,correlation,no shrinkage
0.000903022347561829,correlation,shrink std
0.000898085681411506,correlation,shrink basis
0.000993046306486458,partial correlation,no shrinkage
0.0519265791774522,partial correlation,shrink std
0.000829024930815894,partial correlation,shrink basis
3.66564324867135e-06,covariance,no shrinkage
3.28193837421733e-06,covariance,shrink std
3.24401081987605e-06,covariance,shrink basis
0.000959537989051403,correlation,no shrinkage
0.000837258638635431,correlation,shrink std
0.000827686082011931,correlation,shrink basis
0.000997887591319791,partial correlation,no shrinkage
0.0669503674994635,partial correlation,shrink std
0.00083421915004428,partial correlation,shrink basis
3.29755769772234e-06,covariance,no shrinkage
3.13241943750194e-06,covariance,shrink std
3.13135499539247e-06,covariance,shrink basis
0.000799532129318113,correlation,no shrinkage
0.000777898819316293,correlation,shrink std
0.000782149015686546,correlation,shrink basis
0.000868657186475409,partial correlation,no shrinkage
0.0700240330556995,partial correlation,shrink std
0.000697973316037544,partial correlation,shrink basis
2.88426835665667e-06,covariance,no shrinkage
2.44861975323734e-06,covariance,shrink std
2.29843830227843e-06,covariance,shrink basis
0.000891718711801404,correlation,no shrinkage
0.000775853279977557,correlation,shrink std
0.000743572235135485,correlation,shrink basis
0.000933472853429238,partial correlation,no shrinkage
0.0694005856175859,partial correlation,shrink std
0.000742832196624382,partial correlation,shrink basis
3.63967568173322e-06,covariance,no shrinkage
3.27768704077061e-06,covariance,shrink std
3.21180436634841e-06,covariance,shrink basis
0.00102334815730702,correlation,no shrinkage
0.000908893432647962,correlation,shrink std
0.000900572513356864,correlation,shrink basis
0.00109156280920282,partial correlation,no shrinkage
0.0565984965296447,partial correlation,shrink std
0.000877777056926208,partial correlation,shrink basis
3.40073778812971e-06,covariance,no shrinkage
3.16148382134083e-06,covariance,shrink std
3.10947358567117e-06,covariance,shrink basis
0.00105285810721111,correlation,no shrinkage
0.00103356631685479,correlation,shrink std
0.00104651949777622,correlation,shrink basis
0.00114457577594432,partial correlation,no shrinkage
0.077112185003119,partial correlation,shrink std
0.000928718586996203,partial correlation,shrink basis
4.18944155463234e-06,covariance,no shrinkage
3.84770201171986e-06,covariance,shrink std
3.73034024169091e-06,covariance,shrink basis
0.00095452549721674,correlation,no shrinkage
0.000829720331235613,correlation,shrink std
0.000807909994479157,correlation,shrink basis
0.000979770208434713,partial correlation,no shrinkage
0.131597214301054,partial correlation,shrink std
0.000866392910117639,partial correlation,shrink basis
3.78933273368606e-06,covariance,no shrinkage
3.5005801523013e-06,covariance,shrink std
3.47208666274564e-06,covariance,shrink basis
0.00097886548895345,correlation,no shrinkage
0.000933686877715352,correlation,shrink std
0.000927518753416258,correlation,shrink basis
0.00103443727630131,partial correlation,no shrinkage
0.0456503075304612,partial correlation,shrink std
0.000789066225877588,partial correlation,shrink basis
2.31715089142688e-06,covariance,no shrinkage
2.14960928961107e-06,covariance,shrink std
2.14455806129143e-06,covariance,shrink basis
0.000777704852502853,correlation,no shrinkage
0.000764994225538847,correlation,shrink std
0.000787514562296498,correlation,shrink basis
0.000944003624406964,partial correlation,no shrinkage
0.0812216190102487,partial correlation,shrink std
0.000757495120013365,partial correlation,shrink basis
3.64597416115632e-06,covariance,no shrinkage
3.26524170054171e-06,covariance,shrink std
3.23072640968773e-06,covariance,shrink basis
0.000973882270528051,correlation,no shrinkage
0.000901395252282395,correlation,shrink std
0.000887674793026427,correlation,shrink basis
0.00103913514586335,partial correlation,no shrinkage
0.0486198326646351,partial correlation,shrink std
0.000819500556388641,partial correlation,shrink basis
4.22477107399745e-06,covariance,no shrinkage
3.84864481487406e-06,covariance,shrink std
3.80464489841424e-06,covariance,shrink basis
0.00104249770983859,correlation,no shrinkage
0.000966852468910414,correlation,shrink std
0.000957443492700398,correlation,shrink basis
0.00102346400844908,partial correlation,no shrinkage
0.0555575782914242,partial correlation,shrink std
0.000839917634463885,partial correlation,shrink basis
3.30437757819378e-06,covariance,no shrinkage
3.07663792722479e-06,covariance,shrink std
3.07061798503654e-06,covariance,shrink basis
0.000995466838625039,correlation,no shrinkage
0.000918047669486828,correlation,shrink std
0.000910559185738555,correlation,shrink basis
0.000960719301509437,partial correlation,no shrinkage
0.0457698737996198,partial correlation,shrink std
0.000791405490393979,partial correlation,shrink basis
4.26503932001944e-06,covariance,no shrinkage
3.920318517726e-06,covariance,shrink std
3.90606944627885e-06,covariance,shrink basis
0.00098544018075235,correlation,no shrinkage
0.00092758030533924,correlation,shrink std
0.00091700752086226,correlation,shrink basis
0.00115733339839694,partial correlation,no shrinkage
0.0662744418299593,partial correlation,shrink std
0.000984598228837516,partial correlation,shrink basis
4.05453852264281e-06,covariance,no shrinkage
3.66552887189823e-06,covariance,shrink std
3.61559222183988e-06,covariance,shrink basis
0.00107695791301128,correlation,no shrinkage
0.000986252249260148,correlation,shrink std
0.000969616472392509,correlation,shrink basis
0.0010878464638348,partial correlation,no shrinkage
0.0528002289226724,partial correlation,shrink std
0.000890402268900774,partial correlation,shrink basis
3.38029449806171e-06,covariance,no shrinkage
3.40741340927632e-06,covariance,shrink std
3.42102889794391e-06,covariance,shrink basis
0.000989867744915949,correlation,no shrinkage
0.00104739113372541,correlation,shrink std
0.00104660249341669,correlation,shrink basis
0.0010572694108216,partial correlation,no shrinkage
0.0434688576031196,partial correlation,shrink std
0.000820163971639112,partial correlation,shrink basis
3.23069132102232e-06,covariance,no shrinkage
2.92736285622246e-06,covariance,shrink std
