MRPL15
RPL7
ELOC
MCM3
GM28438
SF3B1
HSPD1
SUMO1
FN1
AAMP
NCL
NDUFA10
HDLBP
DTYMK
TSN
DBI
SNRPE
TIMM17A
DHX9
CACYBP
PRDX6
PRRC2C
NDUFS2
HNRNPU
H3F3A
COX5B
MRPL30
EIF5B
RPL31
HSPE1
BZW1
NOP58
EEF1B2
RPL37A
ARPC2
PSMD1
PTMA
EIF4E2
TFCP2L1
NUCKS1
KDM5B
TPR
MRPS14
PFDN2
PARP1
EPRS
RPS12
GM3699
DDX21
CCAR1
TET1
CISD1
MIF
RRP1
POLR2E
UQCR11
TIMM13
HSP90B1
SLC25A3
SNRPF
METAP2
MRPL42
CCT2
MYL6
RPL41
PA2G4
RPS26
AKAP12
SF3B5
BCLAF1
SNX3
PPA1
SNRPD3
CHCHD10
CDC34
BSG
PTBP1
GPX4
ATP5D
NDUFS7
RPS15
EEF2
AES
CSRP2
NAP1L1
CDK4
NACA
PTGES3
ATP5B
SARNP
CD63
UQCR10
MRPS24
H2AFV
MDH1
RPS27A
NPM1
CCNG1
CANX
HNRNPAB
HSPA4
UQCRQ
ATOX1
ARF1
NCOR1
EIF4A1
POLR2A
EIF5A
PFN1
C1QBP
EMC6
PAFAH1B1
RPL23A
NME1
LUC7L3
IGF2BP1
ATP5G1
KPNB1
EPOP
RPL23
TOP2A
DNAJC7
UBTF
FTSJ3
DDX5
BPTF
ATP5H
H3F3B
SRSF2
EIF4A3
ARHGDIA
ALYREF
CENPX
PPIA
UPP1
CCT4
RTN4
NUDCD2
RACK1
NHP2
PPP2CA
VDAC1
HINT1
G3BP1
UBB
RPL26
TRP53
GABARAP
PSMB6
TXNDC17
MYBBP1A
PRPF8
YWHAE
SUPT4A
LRRC59
CBX1
PSMB3
RPL19
EIF1
RPL27
PSMC5
PSMD12
RPL38
BIRC5
MRPL12
RPS7
BZW2
FKBP3
RPS29
ERH
NPC2
SNW1
DDX24
HSP90AA1
CKB
2010107E04RIK
PDIA6
PSMA6
PNN
PSMA3
EIF2S1
SRSF5
RBM25
AHSA1
PSMC1
CALM1
EIF5
SIVA1
GTPBP4
GMNN
UQCRFS1
TUBB2B
DEK
HNRNPA0
HNRNPK
UQCRB
NDUFS6
COX7C
BTF3
GM10736
NDUFS4
GDI2
PSMA2
PAK1IP1
HIGD2A
NSD1
TMED9
DDX46
NSUN2
TMEM167
RPS23
TBCA
PSMD6
RPL15
RTRAF
MRPS16
GNL3
HNRNPC
SUPT16
DAD1
PSMB5
ACIN1
TDH
CHCHD1
VDAC2
RPS24
TKT
GLUD1
WAPL
PSMC6
APEX1
MPHOSPH8
TPT1
SUGT1
UCHL3
DNAJC21
BRIX1
SUB1
CCT5
RPL30
COX6C
PABPC1
ZFP706
UBR5
EIF3E
EIF3H
EEF1D
EIF3D
RPL3
ST13
PHF5A
PMM1
NDUFA6
SCAF11
TUBA1B
CBX5
RPL37
MTDH
ENY2
NDUFB9
CYC1
RPL8
EIF3L
POLR2F
TOMM22
RBX1
SMDT1
SAMM50
ATXN10
EIF4B
PFDN5
PCBP2
USP7
RSL1D1
GSPT1
RANBP1
ATP5J
CCT8
GART
ATP5O
HMGN1
PSMD2
EIF4G1
POLR2H
RPL35A
NAA50
MORC1
RPL24
SON
MRPL18
PSMB1
ELOB
NDUFB10
STUB1
RPS10
GLO1
U2AF1
HNRNPM
RPS28
PFDN6
RPS18
1110038B12RIK
TUBB5
ABCF1
CDC5L
HSP90AB1
RPL7L1
2410015M20RIK
VAPA
NDUFV2
MYL12B
MYL12A
DPY30
CEBPZ
SRSF7
CALM2
TCP1
SOD2
SRRM2
RPS2
MRPL28
RPL10A
SRSF3
NDUFA7
LSM2
DDX39B
DHX16
GM42418
RPL36
NDUFA11
CLPP
WDR43
MSH2
MSH6
KIF5B
ETF1
HSPA9
PFDN1
NDUFA2
TAF7
TCOF1
TXNL1
SNRPD1
GM10036
SRP19
CTNNA1
PAIP2
ZMAT2
EIF1A
LMNB1
RPS14
CSNK1A1
RPL17
ATP5A1
TXNL4A
CYB5A
SF3B2
BANF1
MALAT1
STIP1
COX8A
POLR2G
GOT1
NDUFB8
MRPL43
EIF3A
MRPL21
PPP1CA
MRPL11
CFL1
FAU
PPP1R14B
UBXN1
EEF1G
FTH1
DDB1
HELLS
NOLC1
SFR1
SMC3
ATP5C1
RBM17
TUBB4B
SWI5
NDUFA8
PSMB7
RPL35
PRPF40A
OLA1
ATP5G3
CAPRIN1
EIF3M
SRP14
ZFP106
SNRPB
ESF1
SNX5
EIF2S2
EIF6
RBM39
ATP5E
PSMA7
VIM
EDF1
RPL7A
SET
RPL12
HSPA5
RIF1
PPIG
SSB
HAT1
HNRNPA3
ZC3H15
SSRP1
MTCH2
PSMC3
NOP10
DUT
FKBP1A
1110008F13RIK
TOP1
SRSF6
YWHAB
UBE2C
DDX27
RPS21
DNAJC19
NDUFC1
LAMTOR2
CKS1B
UBAP2L
RPS27
PSMB4
PSMD4
ATP5F1
RPL34
AIMP1
