RPL7
HSPD1
NCL
DTYMK
SNRPE
CACYBP
HNRNPU
H3F3A
COX5B
RPL31
HSPE1
EEF1B2
RPL37A
PTMA
EIF4E2
NUCKS1
TPR
RPS12
SLC25A3
CCT2
RPL41
PA2G4
RPS26
CHCHD10
BSG
RPS15
EEF2
NACA
ATP5B
UQCR10
RPS27A
NPM1
HNRNPAB
HSPA4
UQCRQ
EIF4A1
EIF5A
PFN1
C1QBP
RPL23A
ATP5G1
RPL23
DDX5
ATP5H
H3F3B
PPIA
CCT4
RACK1
NHP2
HINT1
G3BP1
UBB
RPL26
TRP53
PSMB6
YWHAE
PSMB3
RPL19
EIF1
RPL27
RPS7
FKBP3
RPS29
HSP90AA1
CKB
PSMA3
RBM25
HNRNPK
UQCRB
NDUFS6
COX7C
RPS23
RPL15
RTRAF
HNRNPC
SUPT16
TDH
VDAC2
RPS24
TPT1
SUB1
CCT5
RPL30
COX6C
PABPC1
EIF3H
EEF1D
RPL3
ST13
RPL37
RPL8
PFDN5
PCBP2
RANBP1
ATP5J
CCT8
ATP5O
HMGN1
RPL35A
PSMB1
ELOB
RPS10
RPS28
RPS18
TUBB5
HSP90AB1
SRSF7
TCP1
SRRM2
RPS2
RPL10A
SRSF3
GM42418
RPL36
NDUFA11
HSPA9
RPS14
RPL17
ATP5A1
SF3B2
COX8A
CFL1
FAU
PPP1R14B
UBXN1
EEF1G
FTH1
ATP5C1
TUBB4B
SWI5
RPL35
SNRPB
EIF2S2
RBM39
PSMA7
RPL7A
SET
RPL12
RIF1
HAT1
RPS21
RPS27
PSMB4
ATP5F1
RPL34
NDUFB5
HDGF
CCT3
ADH5
RPS20
TXN1
RPS6
UQCRH
NASP
RPS8
YBX1
EIF3I
ATPIF1
RPL11
CLTA
ANP32B
SEC61B
PRDX1
ENO1
RPL22
TOMM7
RPL9
COX6A1
CHCHD2
ACTB
ATP5J2
LAP3
RPL5
RPLP0
RPL6
RAN
CCT6A
MDH2
HSPB1
RPL21
POMP
ASNS
NDUFA4
MKRN1
HNRNPA2B1
TMSB10
PCBP1
RPL32
GAPDH
SERBP1
CCT7
RPS4L
EIF3K
COX6B1
UBA2
RPS11
RPL13A
RPS17
RPS3
EIF4G2
RPS13
RPS15A
EIF3C
ALDOA
RPS9
RPL28
RPS5
SNRPD2
RPS19
RPS16
RPL18
RPL27A
RPLP2
CD81
RPL18A
GM8730
EIF4EBP1
RPS13-PS1
COX4I1
RPL13
RPLP1
DPPA5A
EEF1A1
COX7A2
RNF7
HSPA8
RPS25
COX5A
PKM
RPL4
RPS27L
NEDD4
GSTA4
GPX1
RPSA
RPL14
MT-RNR2
MT-ND1
MT-ND2
MT-ND4
MT-CYTB
RPL39
RPS4X
RPL10
